Topic,Count,Name,Representation,KeyBERT,LLM,Representative_Docs
-1,8,-1_on_and_your_up,"['on', 'and', 'your', 'up', 'for', 'signs', 'form', 'gifts', 'smile', 'giving']","['celebrating', 'caring', 'giving', 'care', 'smile', 'healthy', 'healing', 'joy', 'comfort', 'austin']",['Daily Well-being & Giving'],"['🎁 Giving is beautiful - give love, time and gifts this holiday season. It’s the perfect form of care and comfort for others who need it right now.', '📸 Remember: Memories made on your phone don’t last forever. They require caring for them by regularly backing up important moments.', '🍴 Healthy eating: Choose wisely when picking up your next meal, think whole ingredients over packaged, processed foods!']"
0,23,0_and_creating_home_with,"['and', 'creating', 'home', 'with', 'your', 'design', 'nature', 'or', 'into', 'they']","['diy', 'crafting', 'renovation', 'projects', 'environment', 'design', 'furniture', 'aesthetic', 'indoor', 'creating']",['DIY and Biophilic Design'],"['DIY projects are more than just saving money; they’re also a fulfilling way to personalize your home and make it uniquely yours. From repurposing old furniture to creating custom wall art, each small project adds to the big picture of your space 💡🏠.', 'Biophilic design aims to reconnect us with nature, which can be achieved by incorporating indoor plants or water features in your home renovation plans 🌿🌊. It’s about integrating nature into our built environment for health and wellness.', 'DIY projects are about learning, creativity, and making the most of what you have at home. Whether it’s customizing furniture, creating wall art, or repurposing old items, every effort adds to your unique home story 😎🏠.']"
1,21,1_music_by_vibes_album,"['music', 'by', 'vibes', 'album', 'your', 'you', 'my', 'it', 'give', 'to']","['melodic', 'rhythmic', 'vibes', 'melodies', 'symphony', 'vibe', 'music', 'vibez', 'listening', 'harmony']",['Music Vibes & Melodies'],"[""🎶 Vibes: I've been listening intently to this playlist called “Rhythmic Reels” featuring tracks that remind me why we all love music so much. Give it a go and let the beats take you places!"", '👌 Recommendation: If you\'re looking to switch things up in your jams, give ""Synesthesia"" by Melodic Echoes a chance. This album has all sorts of moods and sounds that can really shake up your routine.', '🎶 Vibes: If you\'re looking to step out of your comfort zone and explore new sounds, give ""Vivid Visions"" by Sonic Symphony a chance. It’s an album that will blow your mind!']"
2,21,2_water_open_swimming_the,"['water', 'open', 'swimming', 'the', 'and', 'just', 'but', 'as', 'to', 'swim']","['swimming', 'swim', 'swimmers', 'pools', 'endurance', 'wetsuits', 'waters', 'water', 'competitions', 'tides']",['Open Water Swimming Topics'],"[""The transition from swimming in pools to open water can be daunting, but it's a rewarding experience that builds confidence and mental toughness. Each stroke is training for an eventual race. 🌊"", ""Endurance in open water swimming isn't just about swimming long distances but also about maintaining focus amidst changing conditions and personal fatigue. It takes mental strength as much as physical stamina. 💼"", ""Swimming under the sun at an early morning open water race is a moment that's hard to forget; it’s more than just another swim, it's a celebration of life in motion. 🌞""]"
3,20,3_rail_speed_high_california,['rail'," 'speed'"," 'high'"," 'california'"," 'project'"," 'construction'"," 'funding'"," 'the'"," 'and'"," 'for']"
4,19,4_space_the_spacex_first,"['space', 'the', 'spacex', 'first', 'to', 'iss', 'flight', 'exploration', 'artemis', 'in']","['astronauts', 'nasa', 'spacex', 'starship', 'missions', 'mission', 'iss', 'flight', 'launched', 'launches']",['Space Exploration Advancements'],"['🚀 SpaceX successfully launched the Crew-4 mission, bringing three astronauts and their cargo to the International Space Station (ISS).', '🚀 A new era of space tourism will soon commence with Virgin Galactic’s first all-civilian flight scheduled for early 2021, ushering in a new era of accessible space exploration.', '🌌 Private space company Virgin Galactic has successfully completed its first all-civilian flight, marking another milestone in private space tourism.']"
5,11,5_有时候_这使得它们成为了我们生活中的一抹亮色_但这种独特的责任感也更加令人敬佩_每个地方都有它们的理由,"['有时候', '这使得它们成为了我们生活中的一抹亮色', '但这种独特的责任感也更加令人敬佩', '每个地方都有它们的理由', '但是一旦展现在你面前时', '比如发现自家的小窝里藏着一只神秘的布偶玩具', '人们可能会因为猫咪的一些小毛病而感到烦恼或困惑', '也给主人带来了小小的愉悦感', '主人与小猫之间的爱是双向的', '为家人带来无尽的欢乐和陪伴']","['人们可能会因为猫咪的一些小毛病而感到烦恼或困惑', '也给主人带来了小小的愉悦感', '为家人带来无尽的欢乐和陪伴', '比如发现自家的小窝里藏着一只神秘的布偶玩具', '即使是最平凡的日子也能因为一只猫变得不平凡', '猫咪们的笑容虽然没有人类那么频繁', '但这种独特的责任感也更加令人敬佩', '这不仅让小猫有了新的游戏伙伴', '比如在咖啡馆里静静地享受一杯热茶和你的小伙伴', '比如清理家具表面的小角落']",['家庭宠物的重要性'],"['有时候，照顾一只猫比养一只狗更有挑战性，但这种独特的责任感也更加令人敬佩。👩\u200d👧\u200d👦👨\u200d👧\u200d👦', '有时候，人们可能会因为猫咪的一些小毛病而感到烦恼或困惑，但记住，猫咪的每一个细微行为都在表达它们对你的爱与依赖。❤️', '有时候，即使是最平凡的日子也能因为一只猫变得不平凡，比如在咖啡馆里静静地享受一杯热茶和你的小伙伴——那只慵懒的猫咪。☕']"
6,9,6_kitty_cat_nap_quirks,"['kitty', 'cat', 'nap', 'quirks', 'paw', 'kittens', 'feline', 'sometimes', 'too', 'special']","['kitty', 'cat', 'kittens', 'cats', 'feline', 'catnapping', 'catmom', 'adorable', 'paw', 'fluffy']",['Cat Napping and Quirks'],"[""🧶 Fluffy kittens grow into beautiful feline adults with unique personalities and quirks that make them special in their own right. What's your favorite feline trait? 💡"", '✨ Clawsome cats can sometimes be quite adorable. Like when they curl up into a tiny ball for a nap or just purr away contentedly while you scroll through the internet. 😺', '🐱 Kitty can be such a joy, but they sure do have their quirks too. Like preferring to nap on your pillow instead of the softest kitty bed ever.🛌']"
7,9,7_weather_fog_karlthefog_san,"['weather', 'fog', 'karlthefog', 'san', 'to', 'so', 'francisco', 'during', 'unpredictable', 'today']","['fog', 'foggy', 'weather', 'climate', 'francisco', 'sf', 'forecast', 'san', 'warnings', 'karlthefog']",['Fog Alerts in SF'],"[""KarlTheFog has been keeping San Francisco in a constant state of alert due to his infamous fog. The overcast skies and high humidity have kept people bundled up, but it also highlights how our climate changes can impact daily life and choices we make. This mild weather is perfect for exploring the city's lesser-known corners."", ""SF weather can be so unpredictable that it’s not uncommon to experience fog one day and sunshine the next. The combination of chill and moisture makes for a unique atmosphere, adding an element of unpredictability to daily life in this city. Always expect the unexpected when it comes to San Francisco's weather."", ""Today's fog is more than just beautiful; it’s also serving as a reminder to stay prepared and alert during these unpredictable weather events. KarlTheFog keeps us informed about what to expect, so everyone can enjoy this view while being cautious of its potential impacts on daily activities.""]"
8,7,8_power_as_people_this,"['power', 'as', 'people', 'this', 'life', 'make', 'can', 'have', 'not', 'new']","['fear', 'travel', 'learn', 'motivator', 'dreaming', 'scares', 'life', 'power', 'stories', 'failure']",['Life and Learning Journey'],"['🎯 Be bold - life’s just too short not to try something new that scares you at times. Fear is a good motivator!', '🌟 The beauty in failure; learn from it, embrace growth opportunities and keep dreaming big even if things don’t go as planned this time around.', '🌟 Let’s make our lights bright as much as we can for people who may not have power this holiday season.']"
